crecimiento_poblacional,consumo_medio_anual,tasa_decrecimiento_reservas,precipitaciones_anuales,temperatura_promedio,año_escasez_agua
Bajo,Consumo moderado,Lento,Húmedo,Templado,2085
Bajo,Bajo consumo,Rápido,Seco,Cálido,2063
Bajo,Bajo consumo,Lento,Moderado,Frío,2079
Bajo,Bajo consumo,Lento,Seco,Templado,2060
Alto,Alto consumo,Rápido,Húmedo,Templado,2061
Bajo,Bajo consumo,Moderado,Seco,Templado,2038
Alto,Alto consumo,Moderado,Moderado,Frío,2051
Alto,Bajo consumo,Rápido,Moderado,Frío,2055
Medio,Consumo moderado,Rápido,Moderado,Cálido,2097
Bajo,Consumo moderado,Moderado,Seco,Frío,2068
Bajo,Alto consumo,Lento,Moderado,Templado,2092
Medio,Consumo moderado,Rápido,Seco,Cálido,2072
Alto,Alto consumo,Lento,Húmedo,Frío,2081
Bajo,Alto consumo,Rápido,Húmedo,Frío,2099
Alto,Consumo moderado,Moderado,Seco,Frío,2046
Medio,Alto consumo,Lento,Moderado,Frío,2028
Alto,Consumo moderado,Lento,Seco,Templado,2096
Bajo,Bajo consumo,Rápido,Seco,Frío,2070
Alto,Bajo consumo,Lento,Seco,Templado,2083
Alto,Consumo moderado,Rápido,Húmedo,Templado,2058
Bajo,Consumo moderado,Moderado,Seco,Templado,2035
Bajo,Consumo moderado,Lento,Húmedo,Cálido,2055
Alto,Consumo moderado,Rápido,Seco,Templado,2035
Alto,Bajo consumo,Lento,Húmedo,Frío,2080
Medio,Alto consumo,Rápido,Seco,Cálido,2062
Bajo,Alto consumo,Rápido,Seco,Frío,2045
Alto,Bajo consumo,Rápido,Moderado,Templado,2034
Bajo,Alto consumo,Moderado,Moderado,Frío,2050
Medio,Bajo consumo,Lento,Seco,Cálido,2032
Alto,Alto consumo,Moderado,Seco,Cálido,2032
Alto,Consumo moderado,Rápido,Seco,Frío,2084
Alto,Consumo moderado,Rápido,Seco,Frío,2096
Bajo,Consumo moderado,Moderado,Moderado,Frío,2058
Medio,Bajo consumo,Moderado,Húmedo,Cálido,2040
Bajo,Bajo consumo,Lento,Seco,Templado,2037
Alto,Alto consumo,Rápido,Moderado,Frío,2046
Medio,Alto consumo,Moderado,Seco,Templado,2051
Alto,Alto consumo,Rápido,Seco,Cálido,2088
Alto,Bajo consumo,Rápido,Húmedo,Frío,2026
Bajo,Alto consumo,Lento,Seco,Frío,2050
Alto,Consumo moderado,Lento,Seco,Cálido,2093
